caller_id,recipient_id,date,time,duration,tower_id,prefecture,hour
CHK6RZDS,3H7ROWGG,2020-01-01,16:13:39,81,tower30,DOUFELGOU,16
MPQMSOBP,N8HKPIK4,2020-01-01,16:18:47,104,tower47,KOZAH,16
OG6WSZ4Y,EW1CU6MB,2020-01-01,16:23:22,108,tower99,KPENDJAL-OUEST,16
DVO6WS7K,D8F040KM,2020-01-01,16:27:48,100,tower22,BINAH,16
RXXFANJ3,TKBXHJOX,2020-01-01,16:32:25,93,tower24,CINKASSE,16
06BA9LHR,YWUR3EKV,2020-01-01,16:38:11,126,tower50,KPENDJAL,16
UYRRM4JD,LFXCTNCS,2020-01-01,16:39:33,100,tower16,ANIE,16
0706DUPJ,UHX8BQMK,2020-01-01,16:41:26,95,tower61,LOME COMMUNE,16
SB2GZAJU,QK6RD0CH,2020-01-01,16:43:22,87,tower58,LOME COMMUNE,16
GXMHRRRQ,QNE5AS6C,2020-01-01,16:53:29,61,tower96,AMOU,16
CO9IM36S,Y2SSO9KF,2020-01-01,16:55:05,121,tower86,TCHAOUDJO,16
TEZK7G1F,8URS19PI,2020-01-01,17:04:39,118,tower99,KPENDJAL-OUEST,17
QNE5AS6C,2LI3ERUW,2020-01-01,17:05:20,121,tower100,PLAINE DU MO,17
CPIQJ5U0,JRCMCAKE,2020-01-01,17:08:51,120,tower3,AGOE-NYIVE,17
850ILZ3A,TKBXHJOX,2020-01-01,18:03:48,93,tower38,GOLFE,18
L1DKO6MV,JTZ8NTNT,2020-01-01,18:16:38,70,tower75,SOTOUBOUA,18
JTZ8NTNT,64BII0RU,2020-01-01,18:55:22,78,tower100,PLAINE DU MO,18
HNHOUXJM,LWA939JH,2020-01-01,19:04:19,88,tower72,OGOU,19
OT5GIBEA,2B4LACSW,2020-01-01,19:38:57,83,tower39,GOLFE,19
QU7QSVGS,QQ8Z3DOV,2020-01-01,20:06:17,77,tower54,LOME COMMUNE,20
H3N42UUB,UHX8BQMK,2020-01-01,20:09:23,81,tower6,AGOE-NYIVE,20
QNE5AS6C,RXXFANJ3,2020-01-01,20:11:27,105,tower100,PLAINE DU MO,20
1DJTB0AG,6HEE149Y,2020-01-01,20:13:06,112,tower1,AGOE-NYIVE,20
IDXIWF9Y,5M28L1MF,2020-01-01,20:28:05,122,tower72,OGOU,20
YDW44SWN,N74H5WB8,2020-01-01,20:32:49,109,tower74,OTI,20
W6QZ7S00,Q5BK8XEM,2020-01-01,20:39:50,85,tower29,DOUFELGOU,20
UPUH33XF,NIF6UYTN,2020-01-01,20:45:35,117,tower3,AGOE-NYIVE,20
TKBXHJOX,HNHOUXJM,2020-01-01,21:00:47,79,tower54,LOME COMMUNE,21
W6QZ7S00,UW3JX66G,2020-01-01,21:03:50,125,tower22,BINAH,21
E35NJHCH,06BA9LHR,2020-01-01,21:09:14,88,tower96,AMOU,21
8FA9GEXM,QPB1YYRY,2020-01-01,21:13:03,132,tower5,AGOE-NYIVE,21
FWGZVNWU,IFOFOESU,2020-01-01,21:38:36,82,tower60,LOME COMMUNE,21
6HEE149Y,NRPQOXJW,2020-01-01,21:56:21,119,tower58,LOME COMMUNE,21
UW3JX66G,AEOYEEI1,2020-01-01,22:04:05,80,tower16,ANIE,22
OK4PTTMX,YDGVL625,2020-01-01,22:10:03,98,tower77,TANDJOARE,22
XZ8HC3LN,H3N42UUB,2020-01-01,22:10:26,97,tower90,WAWA,22
OG6WSZ4Y,LFXCTNCS,2020-01-01,22:19:11,110,tower98,KPENDJAL-OUEST,22
8A0F9A5Y,EW1CU6MB,2020-01-01,22:20:59,64,tower62,LOME COMMUNE,22
3VZAX0RR,850ILZ3A,2020-01-01,22:34:17,78,tower7,AGOE-NYIVE,22
6KQE9FYV,3D70JPBF,2020-01-01,22:43:15,112,tower47,KOZAH,22
B5ZATI54,UHX8BQMK,2020-01-01,22:44:01,93,tower60,LOME COMMUNE,22
OHGI1JNY,I8EZDI9H,2020-01-01,22:46:25,100,tower15,ANIE,22
3D70JPBF,OHGI1JNY,2020-01-01,23:12:59,85,tower52,LOME COMMUNE,23
UHX8BQMK,850ILZ3A,2020-01-01,23:24:06,126,tower37,GOLFE,23
NRPQOXJW,BZFQY2QR,2020-01-01,23:52:11,65,tower9,AGOE-NYIVE,23
UPUH33XF,4SEEL57M,2020-01-01,23:57:48,81,tower61,LOME COMMUNE,23
JYY4GIFI,8TG8O2BF,2020-01-02,00:20:45,66,tower50,KPENDJAL,0
0HHVC11B,BZFQY2QR,2020-01-02,00:23:37,76,tower82,TCHAOUDJO,0
536AAL2Y,JTZ8NTNT,2020-01-02,01:03:10,98,tower54,LOME COMMUNE,1
ITNVWCA4,TV465N8P,2020-01-02,01:12:51,117,tower34,GOLFE,1
LWA939JH,IDOFCO72,2020-01-02,01:32:09,135,tower60,LOME COMMUNE,1
3D70JPBF,6I3K0MVW,2020-01-02,01:35:17,105,tower3,AGOE-NYIVE,1
Q5BK8XEM,Y2SSO9KF,2020-01-02,01:56:47,118,tower98,KPENDJAL-OUEST,1
5OV4ISV8,L98725AW,2020-01-02,02:02:02,118,tower102,PLAINE DU MO,2
EW1CU6MB,5M28L1MF,2020-01-02,02:16:27,102,tower55,LOME COMMUNE,2
RWO7A9Z2,DZX7JJ0X,2020-01-02,02:23:13,144,tower0,AGOE-NYIVE,2
3H7ROWGG,V2J558WL,2020-01-02,02:44:46,94,tower92,YOTO,2
9QZ0HCVE,KQTDS8US,2020-01-02,02:48:50,116,tower54,LOME COMMUNE,2
0706DUPJ,IDOFCO72,2020-01-02,03:00:57,74,tower37,GOLFE,3
TV465N8P,FRS832YF,2020-01-02,03:16:12,94,tower28,DANYI,3
850ILZ3A,8FA9GEXM,2020-01-02,03:21:18,95,tower4,AGOE-NYIVE,3
N6OH31ZA,NRPQOXJW,2020-01-02,03:30:20,76,tower38,GOLFE,3
IU9XRLE9,OW8BY9KD,2020-01-02,03:33:47,115,tower47,KOZAH,3
N8HKPIK4,DVO6WS7K,2020-01-02,03:47:47,91,tower54,LOME COMMUNE,3
QPB1YYRY,8A0F9A5Y,2020-01-02,04:34:02,122,tower46,KLOTO,4
536AAL2Y,7ISEBFWJ,2020-01-02,04:41:39,74,tower54,LOME COMMUNE,4
QU7QSVGS,RXWZ61FH,2020-01-02,04:42:44,130,tower54,LOME COMMUNE,4
EW1CU6MB,YDW44SWN,2020-01-02,04:51:19,105,tower33,GOLFE,4
FG4TKMTL,D8F040KM,2020-01-02,05:01:09,83,tower74,OTI,5
ZGDN1K5V,XAJI0Y6D,2020-01-02,05:02:24,95,tower10,AGOU,5
88CD40YL,EW1CU6MB,2020-01-02,05:16:18,70,tower72,OGOU,5
5OV4ISV8,ZGDN1K5V,2020-01-02,05:18:42,104,tower100,PLAINE DU MO,5
FQ1Z0P2T,AZT67X0T,2020-01-02,05:27:34,110,tower17,ASSOLI,5
ITNVWCA4,LUJ3QL62,2020-01-02,05:34:37,89,tower54,LOME COMMUNE,5
3D70JPBF,FYWRH23S,2020-01-02,06:09:06,95,tower59,LOME COMMUNE,6
FWGZVNWU,CJEB2UOC,2020-01-02,06:09:12,118,tower35,GOLFE,6
L98725AW,QPB1YYRY,2020-01-02,06:09:22,159,tower82,TCHAOUDJO,6
CJEB2UOC,N74H5WB8,2020-01-02,06:19:31,141,tower80,TCHAOUDJO,6
UHX8BQMK,COD1SBB0,2020-01-02,06:25:54,138,tower63,LOME COMMUNE,6
QPB1YYRY,6Y16JW65,2020-01-02,06:43:21,118,tower70,OGOU,6
7N3IRJTC,3H7ROWGG,2020-01-02,06:43:32,65,tower38,GOLFE,6
JYY4GIFI,SG8WV7D2,2020-01-02,06:45:25,91,tower98,KPENDJAL-OUEST,6
8FA9GEXM,8A0F9A5Y,2020-01-02,06:54:30,155,tower89,VO,6
YWUR3EKV,Z4G9GYD1,2020-01-02,06:59:49,87,tower81,TCHAOUDJO,6
6KQE9FYV,GQZH5IFP,2020-01-02,07:06:10,99,tower21,BINAH,7
DVO6WS7K,FG4TKMTL,2020-01-02,07:18:59,65,tower47,KOZAH,7
SG8WV7D2,RWO7A9Z2,2020-01-02,07:26:46,97,tower71,OGOU,7
6Y16JW65,OHGI1JNY,2020-01-02,07:28:18,128,tower19,BASSAR,7
YDGVL625,LFXCTNCS,2020-01-02,07:32:19,114,tower19,BASSAR,7
IDXIWF9Y,850ILZ3A,2020-01-02,07:33:04,81,tower10,AGOU,7
PUUV28Y3,2B4LACSW,2020-01-02,07:45:20,105,tower92,YOTO,7
DVO6WS7K,FG4TKMTL,2020-01-02,07:55:29,90,tower21,BINAH,7
EW1CU6MB,IU9XRLE9,2020-01-02,08:11:24,77,tower64,LOME COMMUNE,8
N6OH31ZA,SVK701Q4,2020-01-02,08:19:55,58,tower33,GOLFE,8
Q5BK8XEM,RXXFANJ3,2020-01-02,08:41:22,81,tower50,KPENDJAL,8
3H7ROWGG,RR13MTWZ,2020-01-02,09:01:55,102,tower15,ANIE,9
7G8IQ6MS,3VZAX0RR,2020-01-02,09:03:16,62,tower76,SOTOUBOUA,9
TV465N8P,CHK6RZDS,2020-01-02,09:14:24,80,tower68,MOYEN-MONO,9
1DJTB0AG,CPIQJ5U0,2020-01-02,09:17:10,134,tower57,LOME COMMUNE,9
N74H5WB8,XP0CZNVG,2020-01-02,09:19:39,69,tower31,EST-MONO,9
B5ZATI54,FRS832YF,2020-01-02,09:26:42,109,tower35,GOLFE,9
UYRRM4JD,QPB1YYRY,2020-01-02,09:29:24,125,tower15,ANIE,9
YDGVL625,QU7QSVGS,2020-01-02,09:32:36,59,tower20,BASSAR,9
H3N42UUB,23RJAXQ1,2020-01-02,09:40:02,116,tower41,GOLFE,9
3D70JPBF,XZ8HC3LN,2020-01-02,10:28:42,85,tower6,AGOE-NYIVE,10
6RUMEMGE,FQ1Z0P2T,2020-01-02,10:54:14,69,tower96,AMOU,10
XAJI0Y6D,JTZ8NTNT,2020-01-02,11:07:22,111,tower37,GOLFE,11
2B4LACSW,64BII0RU,2020-01-02,11:21:33,120,tower36,GOLFE,11
OHGI1JNY,AEOYEEI1,2020-01-02,11:27:31,95,tower5,AGOE-NYIVE,11
7G8IQ6MS,QQ8Z3DOV,2020-01-02,11:31:54,114,tower101,PLAINE DU MO,11
KSUQVRSH,UYRRM4JD,2020-01-02,11:46:46,121,tower50,KPENDJAL,11
536AAL2Y,2LI3ERUW,2020-01-02,11:58:42,141,tower4,AGOE-NYIVE,11
H3N42UUB,H3N42UUB,2020-01-02,12:05:08,99,tower59,LOME COMMUNE,12
OHGI1JNY,2LI3ERUW,2020-01-02,12:09:22,94,tower93,ZIO,12
LUJ3QL62,LUJ3QL62,2020-01-02,12:29:31,96,tower55,LOME COMMUNE,12
XAJI0Y6D,EEVGEQPH,2020-01-02,12:40:38,86,tower34,GOLFE,12
8URS19PI,OK4PTTMX,2020-01-02,12:59:51,97,tower70,OGOU,12
B5ZATI54,XP0CZNVG,2020-01-02,13:00:32,118,tower39,GOLFE,13
PUUV28Y3,OT5GIBEA,2020-01-02,13:02:09,97,tower39,GOLFE,13
UTP1PFWB,EEVGEQPH,2020-01-02,13:04:04,18,tower96,AMOU,13
EW1CU6MB,Z6A73C32,2020-01-02,13:08:40,109,tower66,LOME COMMUNE,13
TV465N8P,UPUH33XF,2020-01-02,13:22:26,95,tower67,MOYEN-MONO,13
RU3LLYRM,IDXIWF9Y,2020-01-02,13:27:23,149,tower20,BASSAR,13
FRS832YF,8TG8O2BF,2020-01-02,13:40:30,94,tower9,AGOE-NYIVE,13
COD1SBB0,Y2SSO9KF,2020-01-02,14:10:04,55,tower74,OTI,14
8A0F9A5Y,Z4G9GYD1,2020-01-02,14:20:19,53,tower40,GOLFE,14
GXMHRRRQ,EEVGEQPH,2020-01-02,14:24:07,126,tower28,DANYI,14
FWGZVNWU,CO9IM36S,2020-01-02,14:26:38,97,tower55,LOME COMMUNE,14
7G2T9TPC,IU9XRLE9,2020-01-02,14:28:52,55,tower47,KOZAH,14
ITNVWCA4,W6QZ7S00,2020-01-02,14:34:42,172,tower60,LOME COMMUNE,14
MPQMSOBP,23RJAXQ1,2020-01-02,14:37:33,130,tower47,KOZAH,14
6RUMEMGE,ISF3IT7O,2020-01-02,14:38:11,54,tower13,AKEBOU,14
CJEB2UOC,FYWRH23S,2020-01-02,14:58:08,102,tower81,TCHAOUDJO,14
CO9IM36S,RJWIR8DL,2020-01-02,14:59:46,76,tower85,TCHAOUDJO,14
6HEE149Y,N8HKPIK4,2020-01-02,15:00:14,124,tower40,GOLFE,15
N6OH31ZA,7ISEBFWJ,2020-01-02,15:04:01,109,tower1,AGOE-NYIVE,15
UPUH33XF,XZ8HC3LN,2020-01-02,15:17:30,107,tower34,GOLFE,15
TKBXHJOX,Y2SSO9KF,2020-01-02,15:32:19,95,tower60,LOME COMMUNE,15
RH9604A1,BVAS9K9W,2020-01-02,15:49:58,97,tower87,TCHAOUDJO,15
W6QZ7S00,E35NJHCH,2020-01-02,15:58:15,98,tower29,DOUFELGOU,15
OW8BY9KD,7N3IRJTC,2020-01-02,15:59:56,85,tower48,KOZAH,15
RJWIR8DL,Q5BK8XEM,2020-01-02,16:03:07,130,tower36,GOLFE,16
FWGZVNWU,QK6RD0CH,2020-01-02,16:20:49,96,tower57,LOME COMMUNE,16
DVO6WS7K,RXWZ61FH,2020-01-02,16:26:49,130,tower81,TCHAOUDJO,16
5M28L1MF,RR13MTWZ,2020-01-02,16:29:43,109,tower33,GOLFE,16
PUUV28Y3,TEKPAR8P,2020-01-02,16:33:27,183,tower2,AGOE-NYIVE,16
LUJ3QL62,B5ZATI54,2020-01-02,16:39:48,104,tower65,LOME COMMUNE,16
NRPQOXJW,QQ8Z3DOV,2020-01-02,16:57:37,119,tower66,LOME COMMUNE,16
JTZ8NTNT,NIF6UYTN,2020-01-02,17:20:28,99,tower100,PLAINE DU MO,17
OT5GIBEA,7N3IRJTC,2020-01-02,17:49:48,108,tower34,GOLFE,17
NRPQOXJW,RXWZ61FH,2020-01-02,17:56:28,94,tower34,GOLFE,17
EW1CU6MB,L1DKO6MV,2020-01-02,18:33:46,102,tower37,GOLFE,18
7ISEBFWJ,EEVGEQPH,2020-01-02,18:35:27,106,tower94,ZIO,18
CJEB2UOC,UYRRM4JD,2020-01-02,18:42:06,132,tower87,TCHAOUDJO,18
1S9T7ERF,3VZAX0RR,2020-01-02,19:01:36,114,tower19,BASSAR,19
NRPQOXJW,06BA9LHR,2020-01-02,19:03:09,120,tower1,AGOE-NYIVE,19
0706DUPJ,0706DUPJ,2020-01-02,19:05:56,88,tower38,GOLFE,19
KQTDS8US,9B0R7O7F,2020-01-02,19:13:10,117,tower43,HAHO,19
UTP1PFWB,GXMHRRRQ,2020-01-02,19:14:36,83,tower14,AKEBOU,19
T105K8U0,TV465N8P,2020-01-02,19:30:15,95,tower93,ZIO,19
RH9604A1,3VZAX0RR,2020-01-02,19:35:06,115,tower100,PLAINE DU MO,19
AZT67X0T,6KQE9FYV,2020-01-02,19:43:07,103,tower74,OTI,19
HNHOUXJM,6KQE9FYV,2020-01-02,19:44:04,94,tower71,OGOU,19
UHX8BQMK,RH9604A1,2020-01-02,19:51:17,101,tower66,LOME COMMUNE,19
YDW44SWN,I78A4ZYA,2020-01-02,20:04:37,79,tower73,OTI,20
786DVPTE,FMFIYFMH,2020-01-02,20:07:53,64,tower78,TCHAMBA,20
TM4KSMO9,GQZH5IFP,2020-01-02,20:18:20,112,tower74,OTI,20
COD1SBB0,YDW44SWN,2020-01-02,20:18:49,92,tower44,KERAN,20
TKBXHJOX,QPB1YYRY,2020-01-02,20:47:02,93,tower37,GOLFE,20
HNHOUXJM,OO66L484,2020-01-02,21:10:54,87,tower71,OGOU,21
UTP1PFWB,1DJTB0AG,2020-01-02,21:12:15,136,tower95,AMOU,21
Q5BK8XEM,TEKPAR8P,2020-01-02,21:24:49,92,tower98,KPENDJAL-OUEST,21
W6QZ7S00,TEKPAR8P,2020-01-02,21:29:00,49,tower29,DOUFELGOU,21
OHGI1JNY,7G8IQ6MS,2020-01-02,21:35:25,80,tower0,AGOE-NYIVE,21
XAJI0Y6D,HNHOUXJM,2020-01-02,21:39:52,78,tower39,GOLFE,21
1S9T7ERF,536AAL2Y,2020-01-02,21:43:39,67,tower47,KOZAH,21
CO9IM36S,RR13MTWZ,2020-01-02,22:00:02,86,tower83,TCHAOUDJO,22
CO9IM36S,YDW44SWN,2020-01-02,22:02:34,72,tower88,TCHAOUDJO,22
YWUR3EKV,XAJI0Y6D,2020-01-02,22:11:39,86,tower47,KOZAH,22
UTP1PFWB,HWD6GQ16,2020-01-02,22:16:15,90,tower96,AMOU,22
UHX8BQMK,RR13MTWZ,2020-01-02,22:34:26,66,tower9,AGOE-NYIVE,22
536AAL2Y,QQ8Z3DOV,2020-01-02,22:36:08,126,tower6,AGOE-NYIVE,22
UYRRM4JD,GQZH5IFP,2020-01-02,22:44:46,87,tower13,AKEBOU,22
RU3LLYRM,6RUMEMGE,2020-01-02,22:50:34,77,tower47,KOZAH,22
KQTDS8US,6KQE9FYV,2020-01-02,22:54:17,105,tower43,HAHO,22
QPB1YYRY,JTZ8NTNT,2020-01-02,23:04:45,81,tower95,AMOU,23
HWD6GQ16,TV465N8P,2020-01-02,23:29:39,100,tower55,LOME COMMUNE,23
TV465N8P,W02707BQ,2020-01-02,23:30:43,29,tower69,MOYEN-MONO,23
OG6WSZ4Y,QNE5AS6C,2020-01-02,23:46:28,80,tower99,KPENDJAL-OUEST,23
LFXCTNCS,CV9MTN0Y,2020-01-03,00:18:48,66,tower43,HAHO,0
T105K8U0,0706DUPJ,2020-01-03,00:27:16,65,tower49,KPELE,0
AZT67X0T,CPIQJ5U0,2020-01-03,00:33:12,79,tower74,OTI,0
Q5BK8XEM,CHK6RZDS,2020-01-03,00:36:07,137,tower98,KPENDJAL-OUEST,0
W6QZ7S00,W6QZ7S00,2020-01-03,00:40:12,113,tower47,KOZAH,0
LUJ3QL62,DGYF840Q,2020-01-03,00:47:26,107,tower61,LOME COMMUNE,0
Q5BK8XEM,UTP1PFWB,2020-01-03,00:49:48,106,tower24,CINKASSE,0
S38K1ZXD,536AAL2Y,2020-01-03,00:51:29,169,tower92,YOTO,0
IU9XRLE9,S38K1ZXD,2020-01-03,00:55:33,110,tower48,KOZAH,0
3H7ROWGG,TV465N8P,2020-01-03,01:01:44,128,tower15,ANIE,1
6HEE149Y,HDXVWMQ5,2020-01-03,01:04:35,69,tower57,LOME COMMUNE,1
QU7QSVGS,SG8WV7D2,2020-01-03,01:14:40,86,tower61,LOME COMMUNE,1
JTZ8NTNT,06BA9LHR,2020-01-03,01:28:23,84,tower100,PLAINE DU MO,1
Q5BK8XEM,EEVGEQPH,2020-01-03,01:30:01,117,tower97,OTI-SUD,1
I8EZDI9H,OHGI1JNY,2020-01-03,01:30:59,138,tower66,LOME COMMUNE,1
EW1CU6MB,Z6A73C32,2020-01-03,01:49:11,130,tower58,LOME COMMUNE,1
